User_ID,Age,Gender,Location,Platform,Ad_Type,Campaign_ID,Impressions,Clicks,Conversions,Time_Spent_on_Landing (sec),Spend (INR),Date
U1000,51,Male,Delhi,YouTube,Banner,AUTO202405,6,4,1,102.6,11.38,2025-04-07
U1001,24,Male,Hyderabad,Instagram,Banner,CPG202402,1,1,1,62.2,2.65,2025-03-12
U1002,43,Male,Pune,Google,Carousel,AUTO202405,9,3,2,29.38,21.78,2025-04-07
U1003,40,Male,Hyderabad,YouTube,Story,CPG202402,6,0,0,111.33,20.98,2025-04-20
U1004,22,Other,Bengaluru,LinkedIn,Popup,EDU202403,4,2,1,33.06,12.58,2025-03-02
U1005,52,Male,Pune,Google,Video,EDU202403,7,2,0,106.8,34.54,2025-03-24
U1006,45,Female,Mumbai,YouTube,Popup,FMCG202404,3,1,1,116.78,8.58,2025-03-13
U1007,22,Other,Hyderabad,YouTube,Carousel,EDU202403,6,6,1,22.47,11.26,2025-04-12
U1008,38,Male,Delhi,LinkedIn,Popup,AUTO202405,9,1,1,63.53,18.35,2025-04-10
U1009,40,Other,Chennai,Facebook,Popup,CPG202402,9,1,1,32.26,12.49,2025-03-08
U1010,19,Female,Pune,LinkedIn,Story,EDU202403,9,6,1,92.04,20.92,2025-03-11
U1011,21,Other,Chennai,Instagram,Carousel,EDU202403,5,4,2,54.64,9.44,2025-04-18
U1012,30,Other,Kolkata,Instagram,Banner,CPG202402,8,7,6,114.56,11.46,2025-04-22
U1013,46,Other,Mumbai,Instagram,Popup,CPG202402,3,1,1,6.43,12.96,2025-03-18
U1014,26,Male,Pune,Google,Carousel,CPG202402,4,0,0,14.82,10.68,2025-04-04
U1015,18,Other,Chennai,Facebook,Video,EDU202403,6,5,3,85.34,24.58,2025-03-10
U1016,27,Other,Delhi,YouTube,Banner,FMCG202404,10,9,9,50.08,22.76,2025-04-05
U1017,37,Other,Bengaluru,Instagram,Popup,EDU202403,5,4,0,52.58,9.0,2025-03-27
U1018,30,Other,Chennai,Facebook,Popup,CPG202401,3,3,1,66.33,9.06,2025-04-17
U1019,48,Male,Hyderabad,YouTube,Carousel,EDU202403,5,4,3,72.31,15.41,2025-03-25
U1020,60,Male,Bengaluru,Instagram,Popup,EDU202403,10,5,1,84.99,48.62,2025-03-28
U1021,50,Female,Hyderabad,YouTube,Banner,FMCG202404,6,2,0,92.54,26.75,2025-04-26
U1022,20,Female,Chennai,Instagram,Story,AUTO202405,10,2,2,115.66,14.16,2025-03-25
U1023,53,Other,Pune,Facebook,Banner,AUTO202405,7,6,5,31.25,14.86,2025-03-25
U1024,34,Male,Mumbai,Instagram,Popup,CPG202402,4,0,0,102.96,18.47,2025-04-02
U1025,24,Female,Pune,Google,Carousel,EDU202403,8,6,6,42.68,19.02,2025-04-23
U1026,49,Female,Pune,Google,Banner,FMCG202404,10,4,4,56.6,38.19,2025-03-15
U1027,30,Other,Pune,LinkedIn,Popup,CPG202401,9,0,0,42.53,17.64,2025-03-28
U1028,41,Female,Mumbai,Instagram,Popup,FMCG202404,5,4,2,88.78,13.05,2025-04-11
U1029,52,Other,Delhi,Google,Story,FMCG202404,8,6,5,34.43,30.55,2025-04-19
U1030,54,Female,Kolkata,Facebook,Video,EDU202403,4,0,0,51.15,17.73,2025-03-22
U1031,51,Male,Kolkata,Facebook,Banner,AUTO202405,10,6,1,22.57,48.64,2025-04-13
U1032,30,Male,Delhi,Google,Story,AUTO202405,9,9,5,23.66,42.98,2025-03-22
U1033,60,Male,Chennai,Facebook,Story,CPG202402,8,0,0,74.29,15.89,2025-04-11
U1034,30,Male,Kolkata,LinkedIn,Story,CPG202401,3,3,3,25.78,5.9,2025-04-29
U1035,39,Female,Bengaluru,Facebook,Story,FMCG202404,4,0,0,94.61,6.73,2025-03-06
U1036,48,Other,Kolkata,Google,Banner,CPG202401,1,1,0,116.19,2.12,2025-04-01
U1037,50,Other,Mumbai,YouTube,Carousel,AUTO202405,5,3,2,97.6,20.44,2025-04-16
U1038,39,Other,Mumbai,YouTube,Carousel,CPG202402,5,5,2,99.54,8.35,2025-03-14
U1039,41,Other,Kolkata,LinkedIn,Story,CPG202401,10,7,5,41.21,22.06,2025-04-26
U1040,29,Other,Hyderabad,YouTube,Popup,EDU202403,3,3,3,23.14,8.07,2025-03-13
U1041,38,Male,Bengaluru,Google,Banner,CPG202401,4,4,3,31.41,19.65,2025-03-26
U1042,21,Female,Mumbai,Facebook,Story,EDU202403,3,0,0,4.64,6.09,2025-03-04
U1043,21,Other,Delhi,LinkedIn,Story,AUTO202405,8,4,4,79.73,19.89,2025-03-29
U1044,59,Female,Mumbai,Facebook,Banner,FMCG202404,10,0,0,102.73,42.31,2025-03-23
U1045,27,Other,Hyderabad,LinkedIn,Story,FMCG202404,8,7,2,34.47,14.57,2025-03-12
U1046,60,Other,Pune,YouTube,Story,CPG202401,10,4,3,74.46,26.38,2025-04-29
U1047,21,Other,Mumbai,Facebook,Video,AUTO202405,10,9,6,101.07,34.07,2025-04-14
U1048,44,Male,Delhi,YouTube,Popup,EDU202403,7,0,0,102.78,8.53,2025-04-18
U1049,37,Male,Kolkata,YouTube,Popup,CPG202402,7,3,2,91.67,17.0,2025-03-05
U1050,40,Other,Delhi,Instagram,Popup,EDU202403,8,1,1,28.86,13.74,2025-04-05
U1051,47,Female,Mumbai,Facebook,Banner,EDU202403,7,7,3,73.3,22.79,2025-04-24
U1052,36,Female,Hyderabad,YouTube,Video,CPG202402,3,1,1,70.55,12.76,2025-03-17
U1053,33,Male,Delhi,Google,Carousel,CPG202401,8,4,0,116.43,37.16,2025-03-21
U1054,48,Other,Pune,LinkedIn,Banner,CPG202402,7,5,4,43.61,31.56,2025-04-22
U1055,56,Male,Hyderabad,Google,Popup,EDU202403,2,2,2,93.28,3.03,2025-04-18
U1056,44,Female,Bengaluru,LinkedIn,Carousel,CPG202401,3,2,0,108.09,3.5,2025-04-11
U1057,32,Female,Hyderabad,Google,Video,EDU202403,5,5,1,90.96,10.95,2025-03-13
U1058,24,Male,Delhi,LinkedIn,Carousel,CPG202402,5,0,0,106.49,22.76,2025-03-03
U1059,26,Other,Kolkata,LinkedIn,Story,CPG202402,3,3,0,103.31,9.27,2025-03-12
U1060,35,Other,Mumbai,Instagram,Carousel,EDU202403,4,1,1,73.62,14.48,2025-03-01
U1061,56,Female,Bengaluru,Google,Story,EDU202403,7,6,4,41.47,20.74,2025-04-06
U1062,50,Male,Delhi,Instagram,Story,EDU202403,8,5,5,119.89,16.95,2025-04-24
U1063,47,Other,Delhi,Google,Popup,EDU202403,10,9,6,18.45,28.02,2025-03-01
U1064,22,Female,Mumbai,LinkedIn,Video,EDU202403,10,7,2,79.17,11.35,2025-03-17
U1065,56,Female,Chennai,YouTube,Story,AUTO202405,2,2,0,112.56,4.65,2025-04-09
U1066,18,Female,Bengaluru,YouTube,Banner,FMCG202404,10,7,4,24.01,40.85,2025-04-29
U1067,29,Male,Bengaluru,Google,Banner,CPG202401,1,1,0,2.58,2.04,2025-03-05
U1068,52,Male,Pune,Facebook,Popup,CPG202402,10,8,8,103.87,16.66,2025-04-16
U1069,60,Male,Hyderabad,LinkedIn,Story,AUTO202405,1,1,0,62.86,2.2,2025-04-29
U1070,48,Other,Chennai,LinkedIn,Story,CPG202402,5,1,1,54.83,15.76,2025-03-25
U1071,21,Female,Hyderabad,Instagram,Popup,AUTO202405,3,2,2,20.34,8.05,2025-04-20
U1072,53,Other,Kolkata,Instagram,Video,CPG202402,9,4,1,31.52,23.6,2025-04-01
U1073,22,Male,Pune,YouTube,Carousel,EDU202403,7,6,0,44.23,18.44,2025-03-25
U1074,36,Other,Bengaluru,LinkedIn,Carousel,CPG202402,8,0,0,97.09,8.86,2025-03-23
U1075,52,Male,Chennai,Google,Carousel,AUTO202405,10,4,0,41.67,12.85,2025-03-29
U1076,57,Other,Kolkata,Google,Carousel,AUTO202405,9,2,1,31.43,34.79,2025-03-10
U1077,41,Female,Chennai,LinkedIn,Story,FMCG202404,6,6,5,119.87,14.25,2025-03-21
U1078,19,Other,Chennai,Instagram,Video,CPG202402,4,3,1,108.78,19.77,2025-04-11
U1079,39,Other,Kolkata,Instagram,Popup,FMCG202404,2,2,2,46.08,7.62,2025-03-02
U1080,28,Other,Bengaluru,Google,Story,CPG202401,10,2,2,101.04,29.96,2025-04-09
U1081,37,Male,Pune,LinkedIn,Carousel,CPG202401,1,1,1,110.41,3.12,2025-04-12
U1082,31,Other,Delhi,YouTube,Video,FMCG202404,5,0,0,4.1,7.14,2025-04-01
U1083,28,Other,Mumbai,YouTube,Story,FMCG202404,10,8,0,8.17,27.68,2025-03-03
U1084,43,Female,Hyderabad,Instagram,Story,FMCG202404,6,4,4,111.83,11.87,2025-04-03
U1085,40,Male,Hyderabad,LinkedIn,Banner,AUTO202405,1,1,1,19.21,4.34,2025-04-02
U1086,47,Male,Mumbai,Facebook,Popup,FMCG202404,3,0,0,44.46,3.36,2025-04-11
U1087,40,Male,Bengaluru,Google,Story,FMCG202404,7,7,3,46.46,21.67,2025-04-05
U1088,52,Female,Pune,Facebook,Popup,AUTO202405,3,0,0,62.17,7.75,2025-04-05
U1089,23,Male,Chennai,Google,Banner,FMCG202404,9,2,0,14.86,29.84,2025-04-05
U1090,60,Male,Hyderabad,LinkedIn,Carousel,CPG202402,8,6,2,45.68,23.9,2025-04-02
U1091,20,Male,Bengaluru,YouTube,Banner,CPG202401,3,2,2,4.95,7.7,2025-04-12
U1092,31,Male,Chennai,YouTube,Popup,FMCG202404,9,0,0,39.2,33.31,2025-04-21
U1093,40,Female,Hyderabad,Facebook,Popup,AUTO202405,4,0,0,12.05,14.21,2025-03-30
U1094,18,Other,Pune,YouTube,Video,CPG202401,10,9,1,119.09,13.44,2025-04-29
U1095,23,Other,Delhi,Instagram,Video,CPG202401,5,2,0,90.67,15.22,2025-03-03
U1096,56,Male,Hyderabad,Facebook,Video,CPG202402,6,4,2,79.68,29.4,2025-04-18
U1097,36,Female,Delhi,YouTube,Video,EDU202403,9,8,6,92.29,31.13,2025-04-06
U1098,18,Female,Chennai,Instagram,Carousel,CPG202401,2,2,1,111.33,9.78,2025-03-14
U1099,48,Male,Mumbai,LinkedIn,Story,CPG202402,7,7,4,87.78,14.2,2025-03-29
U1100,56,Female,Delhi,Instagram,Banner,FMCG202404,8,6,2,52.44,16.5,2025-04-16
U1101,25,Other,Pune,Facebook,Carousel,EDU202403,2,1,0,118.01,6.29,2025-04-02
U1102,46,Female,Bengaluru,Instagram,Video,EDU202403,7,3,2,10.65,8.26,2025-04-14
U1103,52,Female,Chennai,YouTube,Popup,FMCG202404,8,1,1,15.08,29.13,2025-04-22
U1104,29,Female,Mumbai,LinkedIn,Story,AUTO202405,10,0,0,84.8,18.65,2025-04-28
U1105,21,Other,Chennai,Instagram,Video,CPG202402,4,2,1,78.4,15.18,2025-04-21
U1106,20,Male,Hyderabad,YouTube,Popup,EDU202403,3,3,3,75.73,11.61,2025-03-31
U1107,43,Female,Chennai,Instagram,Video,EDU202403,9,7,1,59.7,16.96,2025-04-01
U1108,39,Female,Kolkata,YouTube,Carousel,EDU202403,10,10,1,117.12,25.78,2025-04-16
U1109,51,Male,Kolkata,Instagram,Story,EDU202403,7,0,0,7.45,29.13,2025-04-21
U1110,34,Male,Pune,Instagram,Story,CPG202401,9,0,0,55.24,36.78,2025-03-29
U1111,47,Other,Delhi,Instagram,Popup,EDU202403,8,5,2,69.08,10.46,2025-04-26
U1112,60,Other,Mumbai,YouTube,Video,CPG202402,7,2,1,98.03,28.56,2025-03-28
U1113,39,Male,Kolkata,Instagram,Story,EDU202403,3,2,0,66.53,9.89,2025-04-21
U1114,44,Other,Bengaluru,YouTube,Banner,FMCG202404,4,4,3,51.41,18.53,2025-03-28
U1115,22,Female,Chennai,Instagram,Banner,AUTO202405,9,1,0,23.99,28.08,2025-03-23
U1116,35,Female,Delhi,LinkedIn,Banner,CPG202401,2,0,0,99.37,9.39,2025-04-22
U1117,26,Female,Mumbai,Facebook,Carousel,FMCG202404,10,10,9,81.75,31.29,2025-04-17
U1118,51,Other,Kolkata,LinkedIn,Popup,FMCG202404,2,0,0,58.99,7.82,2025-03-15
U1119,57,Other,Delhi,Google,Video,CPG202402,3,3,1,32.97,6.26,2025-03-31
U1120,60,Other,Delhi,Facebook,Banner,EDU202403,1,1,0,77.13,3.9,2025-03-02
U1121,54,Female,Delhi,LinkedIn,Banner,EDU202403,4,4,1,77.72,12.29,2025-04-27
U1122,30,Male,Pune,Instagram,Story,FMCG202404,4,1,1,65.6,12.67,2025-04-03
U1123,24,Male,Chennai,Facebook,Video,CPG202401,4,2,1,101.01,13.39,2025-03-19
U1124,38,Male,Chennai,Facebook,Story,FMCG202404,8,6,6,65.41,27.18,2025-03-16
U1125,47,Other,Bengaluru,Facebook,Carousel,EDU202403,6,0,0,46.19,19.99,2025-04-01
U1126,19,Male,Pune,YouTube,Story,FMCG202404,9,6,4,11.2,21.66,2025-04-22
U1127,34,Female,Mumbai,YouTube,Story,AUTO202405,4,1,0,100.89,6.97,2025-04-23
U1128,31,Male,Delhi,LinkedIn,Banner,AUTO202405,2,2,0,7.16,6.74,2025-03-28
U1129,40,Male,Kolkata,LinkedIn,Popup,EDU202403,6,3,3,37.35,14.6,2025-04-13
U1130,41,Other,Kolkata,Facebook,Carousel,FMCG202404,3,0,0,99.03,9.52,2025-03-15
U1131,56,Other,Chennai,Facebook,Banner,EDU202403,3,1,1,75.58,3.64,2025-04-07
U1132,39,Male,Chennai,Facebook,Video,EDU202403,8,0,0,82.0,31.83,2025-03-16
U1133,56,Female,Bengaluru,Facebook,Popup,AUTO202405,2,1,0,78.45,5.49,2025-03-12
U1134,18,Other,Chennai,YouTube,Carousel,EDU202403,10,6,5,115.39,26.05,2025-04-10
U1135,20,Female,Chennai,LinkedIn,Carousel,FMCG202404,8,4,2,107.09,13.16,2025-04-16
U1136,40,Female,Hyderabad,LinkedIn,Popup,FMCG202404,8,3,3,4.45,28.51,2025-03-31
U1137,55,Female,Bengaluru,YouTube,Popup,FMCG202404,4,4,2,33.28,13.48,2025-04-03
U1138,53,Male,Mumbai,Google,Popup,CPG202402,10,1,1,30.62,38.0,2025-04-20
U1139,46,Other,Pune,LinkedIn,Popup,CPG202402,8,5,1,104.68,13.42,2025-04-29
U1140,58,Female,Hyderabad,YouTube,Story,FMCG202404,1,1,0,52.04,4.71,2025-04-01
U1141,24,Female,Delhi,YouTube,Video,CPG202401,8,3,2,9.58,11.37,2025-03-10
U1142,56,Female,Chennai,Google,Banner,FMCG202404,6,4,2,36.19,26.48,2025-03-04
U1143,57,Male,Mumbai,YouTube,Video,FMCG202404,6,2,1,107.45,6.46,2025-03-09
U1144,46,Male,Pune,YouTube,Story,CPG202402,1,1,1,31.83,3.54,2025-03-09
U1145,38,Female,Kolkata,Facebook,Story,CPG202401,9,1,1,55.75,19.87,2025-04-28
U1146,46,Male,Bengaluru,LinkedIn,Carousel,CPG202402,10,1,1,35.45,14.67,2025-04-04
U1147,41,Male,Hyderabad,YouTube,Story,CPG202402,1,0,0,1.42,1.88,2025-03-06
U1148,48,Male,Chennai,Google,Banner,CPG202401,8,3,1,96.29,28.12,2025-04-06
U1149,54,Male,Mumbai,Google,Banner,CPG202402,1,1,0,25.67,3.23,2025-03-23
U1150,29,Female,Pune,Google,Banner,AUTO202405,3,3,0,82.18,12.9,2025-04-05
U1151,54,Other,Delhi,LinkedIn,Story,CPG202402,4,1,0,110.88,16.17,2025-03-20
U1152,59,Male,Bengaluru,Google,Carousel,CPG202401,7,1,1,27.8,16.96,2025-03-06
U1153,40,Female,Delhi,Facebook,Video,FMCG202404,6,3,3,28.61,28.19,2025-04-29
U1154,23,Female,Hyderabad,Facebook,Video,EDU202403,6,1,1,55.29,21.78,2025-03-01
U1155,38,Female,Pune,LinkedIn,Story,AUTO202405,8,5,2,104.84,22.19,2025-03-09
U1156,28,Male,Hyderabad,Facebook,Popup,CPG202402,2,1,0,80.96,4.61,2025-04-24
U1157,53,Female,Hyderabad,YouTube,Banner,CPG202401,7,1,0,44.8,22.89,2025-04-25
U1158,53,Female,Pune,Instagram,Banner,CPG202402,2,0,0,48.03,2.01,2025-03-05
U1159,28,Female,Delhi,Facebook,Banner,FMCG202404,5,4,3,81.47,15.02,2025-03-05
U1160,59,Other,Kolkata,Instagram,Carousel,FMCG202404,8,8,5,31.97,38.62,2025-04-06
U1161,53,Male,Kolkata,Instagram,Story,FMCG202404,3,1,1,90.78,7.17,2025-03-12
U1162,39,Female,Delhi,Google,Video,CPG202402,2,2,0,46.57,5.75,2025-04-17
U1163,53,Female,Hyderabad,Instagram,Popup,CPG202402,8,5,1,39.81,26.43,2025-03-02
U1164,39,Female,Delhi,Facebook,Video,FMCG202404,9,9,9,69.75,31.2,2025-03-04
U1165,49,Other,Pune,Instagram,Video,CPG202402,8,4,0,46.78,36.31,2025-04-09
U1166,57,Male,Chennai,Google,Carousel,EDU202403,1,1,0,99.49,1.35,2025-03-05
U1167,29,Female,Bengaluru,YouTube,Popup,FMCG202404,2,2,0,56.86,4.28,2025-04-01
U1168,21,Female,Chennai,LinkedIn,Banner,CPG202401,4,0,0,45.89,16.58,2025-03-30
U1169,44,Male,Pune,Facebook,Carousel,FMCG202404,1,1,0,17.98,3.21,2025-03-09
U1170,23,Male,Delhi,YouTube,Video,FMCG202404,1,0,0,101.88,4.61,2025-03-04
U1171,20,Male,Mumbai,Facebook,Popup,FMCG202404,4,1,1,50.74,4.67,2025-04-12
U1172,29,Female,Mumbai,Facebook,Carousel,FMCG202404,8,5,1,25.53,31.61,2025-03-24
U1173,54,Male,Kolkata,Google,Popup,CPG202401,7,4,3,48.28,14.25,2025-04-27
U1174,52,Female,Pune,Instagram,Banner,CPG202402,8,5,3,85.22,13.79,2025-04-08
U1175,51,Female,Bengaluru,Google,Story,FMCG202404,10,0,0,44.1,42.17,2025-04-12
U1176,22,Other,Kolkata,LinkedIn,Video,AUTO202405,6,0,0,106.25,6.09,2025-03-05
U1177,52,Male,Kolkata,LinkedIn,Story,CPG202402,9,7,5,71.14,29.91,2025-03-20
U1178,51,Male,Bengaluru,Facebook,Popup,CPG202402,3,3,1,68.66,13.58,2025-03-06
U1179,54,Other,Delhi,Google,Carousel,AUTO202405,7,0,0,43.09,12.65,2025-03-22
U1180,58,Female,Pune,YouTube,Popup,AUTO202405,3,0,0,10.77,12.29,2025-04-22
U1181,18,Other,Delhi,Facebook,Popup,CPG202402,6,0,0,29.6,12.62,2025-04-26
U1182,38,Other,Kolkata,YouTube,Story,CPG202402,3,0,0,69.45,8.54,2025-03-24
U1183,55,Female,Mumbai,YouTube,Video,EDU202403,9,1,0,113.62,30.58,2025-03-04
U1184,37,Male,Bengaluru,LinkedIn,Video,CPG202402,6,4,3,77.17,20.7,2025-03-22
U1185,54,Female,Mumbai,Google,Carousel,AUTO202405,7,2,1,84.25,30.43,2025-03-10
U1186,51,Other,Kolkata,LinkedIn,Banner,EDU202403,1,1,1,19.46,4.95,2025-04-09
U1187,38,Female,Bengaluru,LinkedIn,Banner,EDU202403,1,1,1,65.36,2.98,2025-03-19
U1188,57,Male,Pune,LinkedIn,Popup,CPG202402,1,0,0,88.33,4.18,2025-03-28
U1189,33,Female,Chennai,YouTube,Carousel,CPG202401,7,1,0,20.6,18.79,2025-04-21
U1190,34,Other,Bengaluru,Facebook,Carousel,CPG202401,9,1,0,39.27,40.04,2025-04-08
U1191,59,Male,Pune,Google,Banner,EDU202403,10,0,0,116.53,47.6,2025-03-09
U1192,34,Male,Mumbai,YouTube,Banner,EDU202403,3,2,0,45.56,7.1,2025-03-12
U1193,42,Other,Chennai,LinkedIn,Carousel,FMCG202404,4,0,0,4.98,6.36,2025-03-17
U1194,40,Other,Delhi,Google,Popup,CPG202402,3,2,2,84.73,4.11,2025-03-10
U1195,26,Female,Bengaluru,YouTube,Story,FMCG202404,2,2,2,52.92,3.52,2025-04-19
U1196,37,Female,Delhi,Facebook,Story,FMCG202404,9,0,0,107.3,15.43,2025-04-14
U1197,37,Female,Delhi,Facebook,Popup,FMCG202404,8,4,4,30.09,35.28,2025-03-04
U1198,19,Female,Kolkata,LinkedIn,Carousel,EDU202403,6,5,1,1.5,22.43,2025-04-24
U1199,57,Male,Kolkata,YouTube,Banner,FMCG202404,6,0,0,104.59,11.0,2025-03-16
